,Lead day 1,Lead day 2,Lead day 3,Lead day 4,Lead day 5,Lead day 6,Lead day 7,Lead day 8,Lead day 9,Lead day 10
Sea surface height (m) [sea_surface_height_above_geoid]{surface},0.013606,0.016468,0.019086,0.022382,0.026324,0.030429,0.034794,0.039115,0.042226,0.045234
Temperature (°C) [sea_water_potential_temperature]{surface},0.176316,0.203008,0.231137,0.260664,0.29192,0.324671,0.359824,0.393912,0.419333,0.451774
Salinity (PSU) [sea_water_salinity]{surface},0.128022,0.147085,0.162938,0.177305,0.190848,0.206161,0.221668,0.235955,0.247486,0.259998
Meridional current (m/s) [northward_sea_water_velocity]{surface},0.04895,0.055316,0.062107,0.069872,0.078208,0.086698,0.095664,0.104088,0.110264,0.116681
Zonal current (m/s) [eastward_sea_water_velocity]{surface},0.050652,0.057406,0.064406,0.072014,0.0805,0.089406,0.098369,0.106874,0.113219,0.119725
Temperature (°C) [sea_water_potential_temperature]{50m},0.306306,0.331344,0.357425,0.386612,0.419509,0.456452,0.495625,0.531403,0.553429,0.575745
Salinity (PSU) [sea_water_salinity]{50m},0.063095,0.06776,0.073217,0.079326,0.086138,0.09356,0.101278,0.108444,0.113303,0.117981
Meridional current (m/s) [northward_sea_water_velocity]{50m},0.04393,0.048181,0.053326,0.059078,0.065628,0.072666,0.080207,0.087292,0.09215,0.096851
Zonal current (m/s) [eastward_sea_water_velocity]{50m},0.04595,0.050147,0.055106,0.060789,0.067125,0.074011,0.081321,0.088391,0.093451,0.098127
Temperature (°C) [sea_water_potential_temperature]{100m},0.273772,0.305771,0.340461,0.380421,0.423566,0.46968,0.51766,0.56134,0.588666,0.615153
Salinity (PSU) [sea_water_salinity]{100m},0.048053,0.052361,0.057431,0.063096,0.069294,0.075915,0.082848,0.089373,0.093732,0.097907
Meridional current (m/s) [northward_sea_water_velocity]{100m},0.038716,0.042785,0.047542,0.053038,0.05923,0.065952,0.073063,0.079722,0.084253,0.088553
Zonal current (m/s) [eastward_sea_water_velocity]{100m},0.041137,0.045043,0.04948,0.054597,0.060367,0.066654,0.073389,0.079879,0.084501,0.088756
Temperature (°C) [sea_water_potential_temperature]{200m},0.206872,0.229112,0.255622,0.285473,0.318372,0.353848,0.391308,0.426646,0.44972,0.47185
Salinity (PSU) [sea_water_salinity]{200m},0.03799,0.041595,0.045768,0.050346,0.055298,0.060591,0.066178,0.071484,0.075212,0.078807
Meridional current (m/s) [northward_sea_water_velocity]{200m},0.032841,0.036075,0.04002,0.044584,0.049729,0.055378,0.0614,0.06716,0.07123,0.075093
Zonal current (m/s) [eastward_sea_water_velocity]{200m},0.034925,0.037644,0.041048,0.04504,0.049617,0.054728,0.060258,0.065646,0.069614,0.07336
Temperature (°C) [sea_water_potential_temperature]{300m},0.176627,0.197205,0.221235,0.247618,0.276278,0.307038,0.339413,0.370142,0.390638,0.410178
Salinity (PSU) [sea_water_salinity]{300m},0.031749,0.034987,0.038675,0.042633,0.046874,0.051381,0.056102,0.060637,0.063926,0.067104
Meridional current (m/s) [northward_sea_water_velocity]{300m},0.030796,0.033783,0.037479,0.041766,0.046581,0.051871,0.057512,0.062947,0.066821,0.070515
Zonal current (m/s) [eastward_sea_water_velocity]{300m},0.032668,0.035134,0.038273,0.041957,0.046192,0.050944,0.056086,0.061119,0.064896,0.068498
Temperature (°C) [sea_water_potential_temperature]{500m},0.136821,0.153722,0.173556,0.195159,0.218312,0.242901,0.268831,0.2935,0.310427,0.326682
Salinity (PSU) [sea_water_salinity]{500m},0.023642,0.026194,0.029068,0.032094,0.035275,0.038636,0.042166,0.04556,0.048091,0.05056
Meridional current (m/s) [northward_sea_water_velocity]{500m},0.027155,0.029783,0.033063,0.036839,0.041056,0.045661,0.050551,0.055264,0.058761,0.062128
Zonal current (m/s) [eastward_sea_water_velocity]{500m},0.028867,0.03099,0.033723,0.036955,0.040624,0.044709,0.049126,0.053509,0.056896,0.060174
