,Lead day 1,Lead day 2,Lead day 3,Lead day 4,Lead day 5,Lead day 6,Lead day 7,Lead day 8,Lead day 9,Lead day 10
Sea surface height (m) [sea_surface_height_above_geoid]{surface},0.066654,0.066992,0.067115,0.067323,0.067803,0.068518,0.069545,0.07085,0.071911,0.072897
Temperature (°C) [sea_water_potential_temperature]{surface},0.518057,0.518718,0.519568,0.522435,0.527315,0.535218,0.54623,0.558376,0.568005,0.583782
Salinity (PSU) [sea_water_salinity]{surface},0.579265,0.575262,0.571287,0.567923,0.564471,0.561564,0.559165,0.556736,0.553786,0.552897
Meridional current (m/s) [northward_sea_water_velocity]{surface},0.118437,0.119064,0.120034,0.121458,0.123224,0.125624,0.128579,0.131817,0.13434,0.137138
Zonal current (m/s) [eastward_sea_water_velocity]{surface},0.119344,0.119991,0.121071,0.122655,0.124907,0.127687,0.130916,0.134257,0.136837,0.139796
Temperature (°C) [sea_water_potential_temperature]{50m},0.863871,0.863832,0.863595,0.863558,0.864845,0.867206,0.870816,0.875692,0.878013,0.880338
Salinity (PSU) [sea_water_salinity]{50m},0.24255,0.242435,0.242247,0.242058,0.241994,0.242079,0.242279,0.242499,0.242416,0.242356
Meridional current (m/s) [northward_sea_water_velocity]{50m},0.112197,0.112696,0.113212,0.113915,0.114851,0.116148,0.117825,0.119692,0.120864,0.121999
Zonal current (m/s) [eastward_sea_water_velocity]{50m},0.113111,0.113259,0.113604,0.114197,0.114997,0.116104,0.117713,0.119501,0.12065,0.122007
Temperature (°C) [sea_water_potential_temperature]{100m},1.057972,1.058672,1.059602,1.061335,1.063544,1.067397,1.073089,1.078298,1.080459,1.082969
Salinity (PSU) [sea_water_salinity]{100m},0.19021,0.190081,0.189846,0.189668,0.189583,0.189608,0.189781,0.189972,0.189849,0.189725
Meridional current (m/s) [northward_sea_water_velocity]{100m},0.111593,0.111793,0.11203,0.112399,0.112897,0.11371,0.114901,0.116254,0.116992,0.117753
Zonal current (m/s) [eastward_sea_water_velocity]{100m},0.115775,0.115737,0.115764,0.116078,0.116528,0.117212,0.118288,0.119569,0.120368,0.121171
Temperature (°C) [sea_water_potential_temperature]{200m},0.874353,0.875643,0.876119,0.876592,0.877616,0.879705,0.883018,0.886743,0.88788,0.88905
Salinity (PSU) [sea_water_salinity]{200m},0.154902,0.154866,0.15471,0.15454,0.154457,0.154475,0.154607,0.154747,0.154598,0.154466
Meridional current (m/s) [northward_sea_water_velocity]{200m},0.10986,0.110027,0.110086,0.110196,0.110395,0.110764,0.111373,0.112101,0.112487,0.112864
Zonal current (m/s) [eastward_sea_water_velocity]{200m},0.115643,0.11579,0.115816,0.115848,0.115975,0.116322,0.116865,0.117496,0.117849,0.118198
Temperature (°C) [sea_water_potential_temperature]{300m},0.736582,0.737611,0.738113,0.738769,0.740102,0.742359,0.745716,0.749527,0.751119,0.752801
Salinity (PSU) [sea_water_salinity]{300m},0.128876,0.128856,0.128758,0.128651,0.128607,0.128641,0.128774,0.128926,0.128846,0.128793
Meridional current (m/s) [northward_sea_water_velocity]{300m},0.107257,0.107401,0.107425,0.107459,0.107598,0.10789,0.108357,0.108898,0.109177,0.109446
Zonal current (m/s) [eastward_sea_water_velocity]{300m},0.111567,0.111683,0.111702,0.111732,0.111799,0.112039,0.112445,0.112937,0.113229,0.11353
Temperature (°C) [sea_water_potential_temperature]{500m},0.565339,0.566327,0.566998,0.567882,0.569295,0.571397,0.574348,0.577578,0.579341,0.581232
Salinity (PSU) [sea_water_salinity]{500m},0.09779,0.097804,0.09776,0.09773,0.09773,0.097782,0.097902,0.098024,0.097994,0.09798
Meridional current (m/s) [northward_sea_water_velocity]{500m},0.098439,0.098517,0.098487,0.098421,0.098411,0.098497,0.098727,0.099027,0.099152,0.099285
Zonal current (m/s) [eastward_sea_water_velocity]{500m},0.102015,0.102034,0.101987,0.101922,0.101929,0.102058,0.102266,0.102553,0.102708,0.10288
