,Lead day 1,Lead day 2,Lead day 3,Lead day 4,Lead day 5,Lead day 6,Lead day 7,Lead day 8,Lead day 9,Lead day 10
Temperature (°C) [sea_water_potential_temperature]{surface},0.782921,0.810095,0.779861,0.796357,0.823954,0.859658,0.853876,0.864212,0.891526,0.868708
Temperature (°C) [sea_water_potential_temperature]{0-5m},0.736541,0.748183,0.769192,0.791081,0.791217,0.809484,0.82188,0.81682,0.814168,0.847764
Temperature (°C) [sea_water_potential_temperature]{5-100m},0.865883,0.87755,0.864399,0.894698,0.886723,0.89508,0.911366,0.938996,0.942562,0.956821
Temperature (°C) [sea_water_potential_temperature]{100-300m},0.78076,0.803706,0.795146,0.798348,0.815229,0.814438,0.837487,0.837227,0.868913,0.88559
Temperature (°C) [sea_water_potential_temperature]{300-600m},0.520732,0.532731,0.530849,0.531307,0.544027,0.558057,0.558991,0.573115,0.591959,0.609314
Salinity (PSU) [sea_water_salinity]{0-5m},0.258987,0.277822,0.274646,0.302625,0.276055,0.288773,0.270737,0.270529,0.292997,0.296003
Salinity (PSU) [sea_water_salinity]{5-100m},0.272844,0.268638,0.27855,0.262033,0.30295,0.289095,0.275041,0.288796,0.28241,0.294486
Salinity (PSU) [sea_water_salinity]{100-300m},0.127768,0.129323,0.130869,0.130988,0.1344,0.13369,0.137854,0.134572,0.137494,0.145226
Salinity (PSU) [sea_water_salinity]{300-600m},0.081661,0.081912,0.081382,0.082222,0.083191,0.084904,0.084649,0.087908,0.089325,0.092692
Sea level anomaly (m) [sea_surface_height_above_geoid]{surface},0.048464,0.049408,0.050196,0.051731,0.053011,0.054875,0.056566,0.058191,0.060348,0.06195
Zonal current (m/s) [eastward_sea_water_velocity]{15m},0.205744,0.205709,0.209171,0.210027,0.208363,0.210547,0.214236,0.216707,0.217154,0.219457
Meridional current (m/s) [northward_sea_water_velocity]{15m},0.188095,0.188895,0.190804,0.193032,0.193853,0.1963,0.197661,0.199383,0.200397,0.201824
