,Lead day 1,Lead day 2,Lead day 3,Lead day 4,Lead day 5,Lead day 6,Lead day 7,Lead day 8,Lead day 9
Sea surface height (m) [sea_surface_height_above_geoid]{surface},0.013604,0.016525,0.018998,0.022179,0.026049,0.030109,0.034416,0.038787,0.041943
Temperature (°C) [sea_water_potential_temperature]{surface},0.171973,0.198628,0.226548,0.255792,0.286936,0.319743,0.355214,0.389822,0.416067
Salinity (PSU) [sea_water_salinity]{surface},0.12749,0.146356,0.162066,0.176211,0.189487,0.20458,0.219815,0.233891,0.245281
Meridional current (m/s) [northward_sea_water_velocity]{surface},0.048678,0.05497,0.061621,0.069174,0.077339,0.085726,0.094669,0.103118,0.109438
Zonal current (m/s) [eastward_sea_water_velocity]{surface},0.050307,0.057041,0.063963,0.071415,0.079731,0.088452,0.097276,0.105798,0.112233
Temperature (°C) [sea_water_potential_temperature]{50m},0.303754,0.329021,0.354686,0.383143,0.415352,0.451622,0.490258,0.525832,0.548077
Salinity (PSU) [sea_water_salinity]{50m},0.062894,0.067535,0.07286,0.078778,0.085415,0.092668,0.100267,0.107405,0.112258
Meridional current (m/s) [northward_sea_water_velocity]{50m},0.04371,0.04789,0.052843,0.058356,0.064703,0.071617,0.079076,0.08615,0.091108
Zonal current (m/s) [eastward_sea_water_velocity]{50m},0.045753,0.049875,0.054685,0.060169,0.066307,0.073039,0.080226,0.087257,0.09235
Temperature (°C) [sea_water_potential_temperature]{100m},0.272837,0.304725,0.338558,0.377315,0.419513,0.464845,0.512227,0.555516,0.582698
Salinity (PSU) [sea_water_salinity]{100m},0.047839,0.052115,0.057059,0.062561,0.068626,0.075134,0.081977,0.088453,0.092806
Meridional current (m/s) [northward_sea_water_velocity]{100m},0.038511,0.042517,0.047092,0.052368,0.058386,0.064979,0.072007,0.078641,0.083251
Zonal current (m/s) [eastward_sea_water_velocity]{100m},0.040929,0.044774,0.049085,0.054041,0.059659,0.065834,0.072496,0.07895,0.083599
Temperature (°C) [sea_water_potential_temperature]{200m},0.205854,0.227856,0.253381,0.282175,0.314252,0.349117,0.386174,0.421271,0.444479
Salinity (PSU) [sea_water_salinity]{200m},0.037748,0.041307,0.045354,0.049785,0.054606,0.059794,0.065301,0.070553,0.074272
Meridional current (m/s) [northward_sea_water_velocity]{200m},0.032618,0.035799,0.039608,0.044024,0.049045,0.0546,0.06056,0.066305,0.070437
Zonal current (m/s) [eastward_sea_water_velocity]{200m},0.034707,0.037357,0.040648,0.044506,0.048964,0.053983,0.059452,0.064821,0.068826
Temperature (°C) [sea_water_potential_temperature]{300m},0.175622,0.195974,0.219222,0.244773,0.272772,0.303008,0.335014,0.365591,0.386318
Salinity (PSU) [sea_water_salinity]{300m},0.031536,0.03473,0.038318,0.042159,0.046295,0.050716,0.055371,0.059871,0.063167
Meridional current (m/s) [northward_sea_water_velocity]{300m},0.030582,0.033507,0.037075,0.041225,0.045925,0.051124,0.056703,0.062111,0.066029
Zonal current (m/s) [eastward_sea_water_velocity]{300m},0.032444,0.034847,0.037888,0.041456,0.045588,0.050248,0.055322,0.060328,0.06413
Temperature (°C) [sea_water_potential_temperature]{500m},0.135989,0.152668,0.171889,0.192821,0.215425,0.23956,0.265138,0.289602,0.306613
Salinity (PSU) [sea_water_salinity]{500m},0.023472,0.025987,0.028797,0.03175,0.034862,0.038159,0.041637,0.044998,0.047526
Meridional current (m/s) [northward_sea_water_velocity]{500m},0.026947,0.029491,0.032648,0.036302,0.040415,0.044934,0.049765,0.054456,0.057976
Zonal current (m/s) [eastward_sea_water_velocity]{500m},0.028657,0.030712,0.033364,0.036495,0.040069,0.044078,0.048433,0.05278,0.056174
