,Lead day 1,Lead day 2,Lead day 3,Lead day 4,Lead day 5,Lead day 6,Lead day 7,Lead day 8,Lead day 9
Sea surface height (m) [sea_surface_height_above_geoid]{surface},0.066685,0.067074,0.067105,0.067191,0.067572,0.068218,0.069165,0.070448,0.071487
Temperature (°C) [sea_water_potential_temperature]{surface},0.516949,0.517569,0.518079,0.5204,0.524943,0.53274,0.543826,0.556202,0.56631
Salinity (PSU) [sea_water_salinity]{surface},0.579295,0.575311,0.571345,0.567893,0.564352,0.561378,0.558978,0.556788,0.553978
Meridional current (m/s) [northward_sea_water_velocity]{surface},0.118492,0.119157,0.120001,0.121241,0.12287,0.125188,0.128118,0.131439,0.134115
Zonal current (m/s) [eastward_sea_water_velocity]{surface},0.119525,0.120206,0.121153,0.122541,0.124637,0.127319,0.130472,0.133799,0.136431
Temperature (°C) [sea_water_potential_temperature]{50m},0.864315,0.864207,0.863156,0.862138,0.862769,0.864749,0.868286,0.873151,0.875664
Salinity (PSU) [sea_water_salinity]{50m},0.242672,0.242555,0.242241,0.241924,0.241776,0.241819,0.242015,0.24226,0.242206
Meridional current (m/s) [northward_sea_water_velocity]{50m},0.11232,0.112874,0.113264,0.113783,0.114559,0.115758,0.117397,0.119308,0.120592
Zonal current (m/s) [eastward_sea_water_velocity]{50m},0.113279,0.11346,0.113686,0.114108,0.114762,0.115791,0.117345,0.119123,0.120312
Temperature (°C) [sea_water_potential_temperature]{100m},1.058971,1.05969,1.059548,1.059887,1.061177,1.064326,1.069632,1.074809,1.077028
Salinity (PSU) [sea_water_salinity]{100m},0.190351,0.190236,0.189882,0.189573,0.189405,0.189384,0.18954,0.189741,0.189658
Meridional current (m/s) [northward_sea_water_velocity]{100m},0.111704,0.111969,0.112095,0.112303,0.112669,0.113402,0.114561,0.115934,0.116775
Zonal current (m/s) [eastward_sea_water_velocity]{100m},0.115888,0.115896,0.115817,0.115944,0.116242,0.116823,0.11785,0.119127,0.119945
Temperature (°C) [sea_water_potential_temperature]{200m},0.87504,0.876364,0.875983,0.875423,0.87562,0.877068,0.879955,0.883486,0.884628
Salinity (PSU) [sea_water_salinity]{200m},0.154912,0.154848,0.154549,0.154228,0.15404,0.153985,0.154081,0.154215,0.154084
Meridional current (m/s) [northward_sea_water_velocity]{200m},0.10986,0.11007,0.110049,0.110055,0.11018,0.110508,0.111117,0.111896,0.112378
Zonal current (m/s) [eastward_sea_water_velocity]{200m},0.115652,0.115838,0.115818,0.115779,0.115845,0.116146,0.116686,0.117364,0.117773
Temperature (°C) [sea_water_potential_temperature]{300m},0.737161,0.73818,0.737943,0.737757,0.73847,0.740273,0.743342,0.74704,0.748692
Salinity (PSU) [sea_water_salinity]{300m},0.128883,0.128862,0.128675,0.128473,0.128378,0.128393,0.128537,0.128728,0.128707
Meridional current (m/s) [northward_sea_water_velocity]{300m},0.107237,0.107434,0.107379,0.107321,0.107404,0.10767,0.108162,0.108767,0.109144
Zonal current (m/s) [eastward_sea_water_velocity]{300m},0.111542,0.111684,0.111645,0.111606,0.111627,0.11184,0.112255,0.112786,0.113127
Temperature (°C) [sea_water_potential_temperature]{500m},0.566115,0.567033,0.567092,0.567294,0.568209,0.569936,0.572636,0.575764,0.577576
Salinity (PSU) [sea_water_salinity]{500m},0.097839,0.097839,0.097718,0.097603,0.097545,0.097559,0.097662,0.097783,0.097771
Meridional current (m/s) [northward_sea_water_velocity]{500m},0.098363,0.098456,0.098375,0.09825,0.098207,0.098284,0.098526,0.098874,0.099074
Zonal current (m/s) [eastward_sea_water_velocity]{500m},0.101977,0.102019,0.101913,0.101783,0.101747,0.101839,0.102026,0.102314,0.102495
