,Lead day 1,Lead day 2,Lead day 3,Lead day 4,Lead day 5,Lead day 6,Lead day 7,Lead day 8,Lead day 9
Temperature (°C) [sea_water_potential_temperature]{surface},0.781312,0.809498,0.779326,0.795823,0.823603,0.864932,0.856872,0.873423,0.901574
Temperature (°C) [sea_water_potential_temperature]{0-5m},0.733275,0.745434,0.765108,0.786667,0.787046,0.801708,0.818479,0.813116,0.808008
Temperature (°C) [sea_water_potential_temperature]{5-100m},0.863667,0.87676,0.860851,0.892588,0.88299,0.889929,0.910194,0.936261,0.936553
Temperature (°C) [sea_water_potential_temperature]{100-300m},0.779565,0.802858,0.791824,0.795119,0.81368,0.81173,0.834637,0.832545,0.863819
Temperature (°C) [sea_water_potential_temperature]{300-600m},0.51869,0.533641,0.528491,0.529647,0.542248,0.557462,0.557496,0.5671,0.586158
Salinity (PSU) [sea_water_salinity]{0-5m},0.257618,0.276999,0.272249,0.301253,0.274338,0.285833,0.269526,0.269246,0.290781
Salinity (PSU) [sea_water_salinity]{5-100m},0.271607,0.267417,0.278684,0.262613,0.300852,0.287243,0.274224,0.288029,0.282987
Salinity (PSU) [sea_water_salinity]{100-300m},0.127376,0.129172,0.13025,0.130261,0.133667,0.132829,0.137515,0.133991,0.136907
Salinity (PSU) [sea_water_salinity]{300-600m},0.081304,0.081932,0.080856,0.081695,0.082676,0.084102,0.084451,0.087217,0.088555
Sea level anomaly (m) [sea_surface_height_above_geoid]{surface},0.048448,0.049417,0.050151,0.051622,0.052846,0.054643,0.056356,0.058152,0.060422
Zonal current (m/s) [eastward_sea_water_velocity]{15m},0.206091,0.206031,0.209325,0.210008,0.208398,0.210468,0.214125,0.216555,0.21726
Meridional current (m/s) [northward_sea_water_velocity]{15m},0.188371,0.189057,0.190892,0.193133,0.193743,0.196207,0.197388,0.199534,0.200477
