,Lead day 1,Lead day 2,Lead day 3,Lead day 4,Lead day 5,Lead day 6,Lead day 7,Lead day 8,Lead day 9
Sea surface height (m) [sea_surface_height_above_geoid]{surface},0.013604,0.016525,0.018999,0.022179,0.026049,0.030109,0.034416,0.038787,0.041943
Temperature (°C) [sea_water_potential_temperature]{surface},0.171969,0.198631,0.226557,0.255804,0.28695,0.319759,0.355231,0.389838,0.416078
Salinity (PSU) [sea_water_salinity]{surface},0.127489,0.146355,0.162066,0.176213,0.189489,0.204582,0.219817,0.233893,0.245283
Meridional current (m/s) [northward_sea_water_velocity]{surface},0.048676,0.05497,0.061623,0.069179,0.077344,0.08573,0.094673,0.10312,0.109441
Zonal current (m/s) [eastward_sea_water_velocity]{surface},0.050302,0.057039,0.063965,0.071421,0.07974,0.088463,0.097286,0.105806,0.11224
Temperature (°C) [sea_water_potential_temperature]{50m},0.303733,0.329035,0.354711,0.383168,0.415377,0.451637,0.490276,0.525848,0.548091
Salinity (PSU) [sea_water_salinity]{50m},0.062892,0.067534,0.07286,0.078779,0.085416,0.092669,0.100268,0.107406,0.112259
Meridional current (m/s) [northward_sea_water_velocity]{50m},0.043706,0.04789,0.052845,0.058361,0.064709,0.071623,0.079082,0.086156,0.091114
Zonal current (m/s) [eastward_sea_water_velocity]{50m},0.045748,0.049874,0.054686,0.060171,0.066309,0.073041,0.080227,0.087257,0.092349
Temperature (°C) [sea_water_potential_temperature]{100m},0.272786,0.304714,0.338567,0.377323,0.419525,0.464862,0.512242,0.555533,0.582722
Salinity (PSU) [sea_water_salinity]{100m},0.047836,0.052113,0.057058,0.062561,0.068626,0.075135,0.081978,0.088455,0.092807
Meridional current (m/s) [northward_sea_water_velocity]{100m},0.0385,0.042511,0.04709,0.052367,0.058387,0.064981,0.07201,0.078645,0.083256
Zonal current (m/s) [eastward_sea_water_velocity]{100m},0.040916,0.04477,0.049085,0.054043,0.059663,0.065839,0.0725,0.078954,0.083603
Temperature (°C) [sea_water_potential_temperature]{200m},0.205795,0.227803,0.253339,0.282143,0.31423,0.349101,0.386164,0.421266,0.444475
Salinity (PSU) [sea_water_salinity]{200m},0.037743,0.041303,0.045351,0.049782,0.054604,0.059793,0.0653,0.070553,0.074272
Meridional current (m/s) [northward_sea_water_velocity]{200m},0.032591,0.035776,0.03959,0.04401,0.049035,0.054592,0.060556,0.066303,0.070436
Zonal current (m/s) [eastward_sea_water_velocity]{200m},0.034684,0.037336,0.040631,0.044493,0.048955,0.053976,0.059448,0.064819,0.068825
Temperature (°C) [sea_water_potential_temperature]{300m},0.175542,0.195904,0.219168,0.244733,0.272742,0.302987,0.335001,0.365583,0.386312
Salinity (PSU) [sea_water_salinity]{300m},0.031531,0.034725,0.038314,0.042156,0.046292,0.050715,0.05537,0.05987,0.063166
Meridional current (m/s) [northward_sea_water_velocity]{300m},0.030552,0.033481,0.037055,0.04121,0.045915,0.051117,0.056699,0.062109,0.066028
Zonal current (m/s) [eastward_sea_water_velocity]{300m},0.032417,0.034824,0.03787,0.041443,0.045578,0.050241,0.055317,0.060325,0.064128
Temperature (°C) [sea_water_potential_temperature]{500m},0.135928,0.152616,0.171852,0.192796,0.215409,0.239551,0.265132,0.289599,0.306612
Salinity (PSU) [sea_water_salinity]{500m},0.02347,0.025985,0.028796,0.031749,0.034861,0.038159,0.041637,0.044998,0.047526
Meridional current (m/s) [northward_sea_water_velocity]{500m},0.026905,0.029456,0.032622,0.036285,0.040404,0.044927,0.049761,0.054454,0.057976
Zonal current (m/s) [eastward_sea_water_velocity]{500m},0.028626,0.030687,0.033346,0.036482,0.040061,0.044073,0.04843,0.052777,0.056173
