,Lead day 1,Lead day 2,Lead day 3,Lead day 4,Lead day 5,Lead day 6,Lead day 7,Lead day 8,Lead day 9
Sea surface height (m) [sea_surface_height_above_geoid]{surface},0.066685,0.067074,0.067105,0.067191,0.067572,0.068217,0.069164,0.070447,0.071486
Temperature (°C) [sea_water_potential_temperature]{surface},0.516954,0.517572,0.518081,0.520401,0.524943,0.532741,0.543829,0.556207,0.566318
Salinity (PSU) [sea_water_salinity]{surface},0.579296,0.575312,0.571345,0.567893,0.564353,0.561378,0.558979,0.556789,0.55398
Meridional current (m/s) [northward_sea_water_velocity]{surface},0.118495,0.119159,0.120003,0.121243,0.122872,0.125191,0.128121,0.131443,0.134118
Zonal current (m/s) [eastward_sea_water_velocity]{surface},0.119529,0.120209,0.121157,0.122546,0.124644,0.127327,0.130479,0.133805,0.136436
Temperature (°C) [sea_water_potential_temperature]{50m},0.864328,0.864212,0.863145,0.862105,0.862715,0.864676,0.868199,0.873047,0.875538
Salinity (PSU) [sea_water_salinity]{50m},0.242673,0.242556,0.242242,0.241924,0.241776,0.241819,0.242015,0.24226,0.242206
Meridional current (m/s) [northward_sea_water_velocity]{50m},0.112322,0.112877,0.113266,0.113785,0.114561,0.11576,0.117399,0.11931,0.120594
Zonal current (m/s) [eastward_sea_water_velocity]{50m},0.113282,0.113463,0.113689,0.11411,0.114764,0.115792,0.117345,0.119121,0.12031
Temperature (°C) [sea_water_potential_temperature]{100m},1.058987,1.059697,1.05954,1.059862,1.061136,1.064267,1.069558,1.074729,1.076939
Salinity (PSU) [sea_water_salinity]{100m},0.190352,0.190237,0.189883,0.189573,0.189405,0.189384,0.18954,0.189741,0.189658
Meridional current (m/s) [northward_sea_water_velocity]{100m},0.111708,0.111972,0.112097,0.112305,0.11267,0.113403,0.114562,0.115935,0.116777
Zonal current (m/s) [eastward_sea_water_velocity]{100m},0.115892,0.1159,0.11582,0.115944,0.116241,0.116818,0.117842,0.119116,0.11993
Temperature (°C) [sea_water_potential_temperature]{200m},0.875049,0.876373,0.87599,0.875429,0.875625,0.877071,0.879957,0.883487,0.884628
Salinity (PSU) [sea_water_salinity]{200m},0.154912,0.154849,0.15455,0.154229,0.15404,0.153985,0.154082,0.154216,0.154085
Meridional current (m/s) [northward_sea_water_velocity]{200m},0.109866,0.110076,0.110053,0.110058,0.110183,0.110509,0.111119,0.111897,0.112378
Zonal current (m/s) [eastward_sea_water_velocity]{200m},0.115657,0.115841,0.115819,0.115778,0.115842,0.116142,0.116682,0.117359,0.117768
Temperature (°C) [sea_water_potential_temperature]{300m},0.737173,0.738193,0.737954,0.737766,0.738478,0.74028,0.743347,0.747044,0.748694
Salinity (PSU) [sea_water_salinity]{300m},0.128884,0.128863,0.128676,0.128474,0.128378,0.128393,0.128538,0.128728,0.128707
Meridional current (m/s) [northward_sea_water_velocity]{300m},0.107243,0.10744,0.107385,0.107325,0.107408,0.107673,0.108164,0.108769,0.109146
Zonal current (m/s) [eastward_sea_water_velocity]{300m},0.111547,0.111689,0.111649,0.111608,0.111628,0.111839,0.112253,0.112784,0.113124
Temperature (°C) [sea_water_potential_temperature]{500m},0.566125,0.567043,0.567101,0.567302,0.568215,0.569941,0.57264,0.575768,0.577579
Salinity (PSU) [sea_water_salinity]{500m},0.097839,0.097839,0.097718,0.097604,0.097546,0.09756,0.097662,0.097784,0.097771
Meridional current (m/s) [northward_sea_water_velocity]{500m},0.098371,0.098464,0.098382,0.098256,0.098212,0.098288,0.098529,0.098878,0.099077
Zonal current (m/s) [eastward_sea_water_velocity]{500m},0.101983,0.102024,0.101917,0.101786,0.10175,0.101842,0.102028,0.102316,0.102497
