,Lead day 1,Lead day 2,Lead day 3,Lead day 4,Lead day 5,Lead day 6,Lead day 7,Lead day 8,Lead day 9,Observations
Temperature (°C) [sea_water_potential_temperature]{surface},0.781183,0.809607,0.779088,0.795881,0.823642,0.865091,0.856932,0.873226,0.901678,153176
Temperature (°C) [sea_water_potential_temperature]{0-5m},0.733545,0.746307,0.766218,0.787539,0.787711,0.802927,0.819161,0.813259,0.80889,82738
Temperature (°C) [sea_water_potential_temperature]{5-100m},0.864431,0.87798,0.861537,0.893271,0.884758,0.889516,0.910534,0.937531,0.93879,1375564
Temperature (°C) [sea_water_potential_temperature]{100-300m},0.779443,0.80242,0.792601,0.794797,0.814043,0.811149,0.835622,0.83294,0.86488,2169693
Temperature (°C) [sea_water_potential_temperature]{300-600m},0.519287,0.533876,0.529089,0.530054,0.542757,0.55805,0.558507,0.568086,0.587058,2702010
Salinity (PSU) [sea_water_salinity]{0-5m},0.2554,0.277587,0.269142,0.30479,0.274514,0.28107,0.270357,0.268357,0.292461,70219
Salinity (PSU) [sea_water_salinity]{5-100m},0.271831,0.268152,0.278186,0.261966,0.301931,0.287505,0.27487,0.288494,0.284055,1173809
Salinity (PSU) [sea_water_salinity]{100-300m},0.126733,0.128648,0.12943,0.129276,0.133114,0.132264,0.137148,0.133497,0.136587,1849747
Salinity (PSU) [sea_water_salinity]{300-600m},0.080449,0.081101,0.08011,0.080965,0.082007,0.083353,0.08377,0.086507,0.087904,2293974
Sea level anomaly (m) [sea_surface_height_above_geoid]{surface},0.048486,0.049453,0.050242,0.051668,0.052918,0.054708,0.056338,0.058149,0.060345,15668173
Zonal current (m/s) [eastward_sea_water_velocity]{15m},0.121108,0.123272,0.126427,0.126949,0.127188,0.12844,0.131627,0.134658,0.137041,1219797
Meridional current (m/s) [northward_sea_water_velocity]{15m},0.117444,0.118775,0.120518,0.122154,0.124687,0.12693,0.128869,0.130983,0.133399,1219797
