,Lead day 1,Lead day 2,Lead day 3,Lead day 4,Lead day 5,Lead day 6,Lead day 7,Lead day 8,Lead day 9
Sea surface height (m) [sea_surface_height_above_geoid]{surface},0.013604,0.016567,0.019047,0.022206,0.026046,0.030062,0.03431,0.03861,0.041678
Temperature (°C) [sea_water_potential_temperature]{surface},0.17197,0.198739,0.226761,0.256034,0.287123,0.319801,0.355023,0.38931,0.415167
Salinity (PSU) [sea_water_salinity]{surface},0.127489,0.146376,0.16207,0.176157,0.189328,0.20432,0.219445,0.233393,0.244647
Meridional current (m/s) [northward_sea_water_velocity]{surface},0.048676,0.054977,0.061613,0.069149,0.077284,0.08563,0.094509,0.102878,0.109084
Zonal current (m/s) [eastward_sea_water_velocity]{surface},0.0503,0.057022,0.063935,0.071383,0.079695,0.088388,0.09716,0.105605,0.11194
Temperature (°C) [sea_water_potential_temperature]{50m},0.303664,0.329085,0.354906,0.383459,0.415642,0.451741,0.490091,0.525269,0.546997
Salinity (PSU) [sea_water_salinity]{50m},0.062802,0.067467,0.072822,0.078765,0.085404,0.092635,0.100186,0.10725,0.112012
Meridional current (m/s) [northward_sea_water_velocity]{50m},0.043708,0.047893,0.052846,0.058353,0.064677,0.071545,0.078931,0.085915,0.090748
Zonal current (m/s) [eastward_sea_water_velocity]{50m},0.04575,0.049863,0.054669,0.060146,0.06627,0.072967,0.080093,0.087041,0.092021
Temperature (°C) [sea_water_potential_temperature]{100m},0.272771,0.304829,0.338796,0.377599,0.419707,0.46482,0.511845,0.554676,0.581283
Salinity (PSU) [sea_water_salinity]{100m},0.047813,0.052106,0.057076,0.062596,0.068662,0.075149,0.081947,0.088358,0.092627
Meridional current (m/s) [northward_sea_water_velocity]{100m},0.038501,0.042518,0.047101,0.052374,0.058379,0.064933,0.071894,0.078436,0.082917
Zonal current (m/s) [eastward_sea_water_velocity]{100m},0.040916,0.044778,0.049105,0.054068,0.059676,0.065817,0.072418,0.078789,0.083323
Temperature (°C) [sea_water_potential_temperature]{200m},0.205772,0.227818,0.253422,0.282274,0.31435,0.349102,0.385925,0.420665,0.443398
Salinity (PSU) [sea_water_salinity]{200m},0.037739,0.041309,0.045375,0.049818,0.05464,0.059812,0.065286,0.070491,0.074148
Meridional current (m/s) [northward_sea_water_velocity]{200m},0.032592,0.035776,0.039601,0.044032,0.049053,0.054579,0.060484,0.066147,0.070163
Zonal current (m/s) [eastward_sea_water_velocity]{200m},0.034681,0.037341,0.040654,0.04453,0.048991,0.053987,0.059406,0.064701,0.068597
Temperature (°C) [sea_water_potential_temperature]{300m},0.175499,0.195912,0.219255,0.244897,0.272929,0.3031,0.334926,0.365209,0.385547
Salinity (PSU) [sea_water_salinity]{300m},0.031526,0.034731,0.038339,0.042194,0.046332,0.050741,0.055366,0.059823,0.063064
Meridional current (m/s) [northward_sea_water_velocity]{300m},0.030551,0.033485,0.037071,0.041236,0.045933,0.051104,0.056628,0.061954,0.065763
Zonal current (m/s) [eastward_sea_water_velocity]{300m},0.032412,0.034825,0.03789,0.041477,0.045612,0.050251,0.055279,0.060215,0.063914
Temperature (°C) [sea_water_potential_temperature]{500m},0.135894,0.152629,0.171926,0.192929,0.215559,0.239642,0.265076,0.289319,0.306024
Salinity (PSU) [sea_water_salinity]{500m},0.023466,0.025992,0.028816,0.031776,0.034887,0.038171,0.041626,0.044956,0.047443
Meridional current (m/s) [northward_sea_water_velocity]{500m},0.026903,0.029458,0.032634,0.036303,0.040412,0.044904,0.049685,0.054306,0.05773
Zonal current (m/s) [eastward_sea_water_velocity]{500m},0.028623,0.030691,0.033368,0.036517,0.040093,0.04408,0.048391,0.052672,0.055975
