,Lead day 1,Lead day 2,Lead day 3,Lead day 4,Lead day 5,Lead day 6,Lead day 7,Lead day 8,Lead day 9
Sea surface height (m) [sea_surface_height_above_geoid]{surface},0.066689,0.067094,0.067126,0.067202,0.06756,0.068174,0.06908,0.070309,0.071286
Temperature (°C) [sea_water_potential_temperature]{surface},0.516503,0.517104,0.51752,0.519694,0.524064,0.531667,0.542523,0.554619,0.564399
Salinity (PSU) [sea_water_salinity]{surface},0.571705,0.567749,0.563775,0.560293,0.55673,0.553744,0.551338,0.549127,0.54631
Meridional current (m/s) [northward_sea_water_velocity]{surface},0.118529,0.119225,0.120081,0.121291,0.12287,0.125125,0.12797,0.131203,0.13377
Zonal current (m/s) [eastward_sea_water_velocity]{surface},0.119565,0.120312,0.121291,0.12266,0.124715,0.127334,0.130412,0.133647,0.136178
Temperature (°C) [sea_water_potential_temperature]{50m},0.864365,0.864311,0.863186,0.862006,0.862435,0.864149,0.867353,0.871824,0.873896
Salinity (PSU) [sea_water_salinity]{50m},0.242355,0.242235,0.241897,0.241544,0.241356,0.241358,0.24151,0.241706,0.2416
Meridional current (m/s) [northward_sea_water_velocity]{50m},0.112359,0.112924,0.11331,0.113803,0.114536,0.115678,0.117244,0.119069,0.120245
Zonal current (m/s) [eastward_sea_water_velocity]{50m},0.113317,0.113524,0.113754,0.114152,0.114764,0.115741,0.117231,0.118929,0.12002
Temperature (°C) [sea_water_potential_temperature]{100m},1.05924,1.05999,1.059745,1.059851,1.060854,1.063641,1.068512,1.073212,1.074875
Salinity (PSU) [sea_water_salinity]{100m},0.190251,0.190128,0.189749,0.189401,0.18919,0.189123,0.189228,0.189376,0.189235
Meridional current (m/s) [northward_sea_water_velocity]{100m},0.11174,0.112013,0.112136,0.112325,0.112655,0.113334,0.114424,0.115715,0.116455
Zonal current (m/s) [eastward_sea_water_velocity]{100m},0.11592,0.115936,0.115849,0.115954,0.116218,0.116752,0.117719,0.118923,0.119648
Temperature (°C) [sea_water_potential_temperature]{200m},0.875075,0.876461,0.876021,0.875345,0.875427,0.876747,0.879493,0.882848,0.883772
Salinity (PSU) [sea_water_salinity]{200m},0.154902,0.154833,0.154508,0.154152,0.153929,0.153838,0.153899,0.153995,0.153824
Meridional current (m/s) [northward_sea_water_velocity]{200m},0.109891,0.110112,0.110083,0.110063,0.110151,0.110427,0.110971,0.111671,0.112057
Zonal current (m/s) [eastward_sea_water_velocity]{200m},0.115684,0.115873,0.115837,0.115773,0.115802,0.116059,0.116545,0.117157,0.117484
Temperature (°C) [sea_water_potential_temperature]{300m},0.736974,0.737986,0.737637,0.737298,0.737863,0.739507,0.742406,0.7459,0.747307
Salinity (PSU) [sea_water_salinity]{300m},0.128848,0.128816,0.128602,0.128364,0.128234,0.128214,0.128323,0.128477,0.128417
Meridional current (m/s) [northward_sea_water_velocity]{300m},0.107262,0.107456,0.107382,0.107293,0.107336,0.107549,0.107976,0.108504,0.108789
Zonal current (m/s) [eastward_sea_water_velocity]{300m},0.111564,0.11171,0.111661,0.1116,0.111592,0.111765,0.11213,0.1126,0.112866
Temperature (°C) [sea_water_potential_temperature]{500m},0.566089,0.566986,0.566935,0.566993,0.567758,0.569325,0.571855,0.574794,0.57638
Salinity (PSU) [sea_water_salinity]{500m},0.097764,0.097757,0.097616,0.097476,0.097392,0.097381,0.097458,0.097554,0.097514
Meridional current (m/s) [northward_sea_water_velocity]{500m},0.098391,0.098486,0.098391,0.098241,0.098164,0.098197,0.098386,0.098671,0.098793
Zonal current (m/s) [eastward_sea_water_velocity]{500m},0.101993,0.102034,0.101911,0.101755,0.101687,0.101741,0.101883,0.102117,0.102232
