,Lead day 1,Lead day 2,Lead day 3,Lead day 4,Lead day 5,Lead day 6,Lead day 7,Lead day 8,Lead day 9,Observations
Temperature (°C) [sea_water_potential_temperature]{surface},0.735609,0.759574,0.72941,0.753261,0.775686,0.816247,0.814749,0.830133,0.854162,150475
Temperature (°C) [sea_water_potential_temperature]{0-5m},0.725589,0.738767,0.758897,0.784058,0.784839,0.79578,0.810671,0.808593,0.803414,80886
Temperature (°C) [sea_water_potential_temperature]{5-100m},0.861967,0.872154,0.860224,0.889218,0.880276,0.882314,0.904488,0.934414,0.93038,1341567
Temperature (°C) [sea_water_potential_temperature]{100-300m},0.781372,0.803271,0.793799,0.796249,0.813227,0.81121,0.837014,0.833985,0.864388,2132232
Temperature (°C) [sea_water_potential_temperature]{300-600m},0.519676,0.5326,0.529041,0.528457,0.540218,0.557104,0.557255,0.567978,0.585163,2646322
Salinity (PSU) [sea_water_salinity]{0-5m},0.250921,0.277759,0.26924,0.304332,0.274255,0.27905,0.2692,0.263339,0.292052,69024
Salinity (PSU) [sea_water_salinity]{5-100m},0.195103,0.200343,0.204768,0.204997,0.205372,0.205773,0.208021,0.206867,0.210254,1143321
Salinity (PSU) [sea_water_salinity]{100-300m},0.126606,0.128694,0.129276,0.128808,0.132181,0.130998,0.137162,0.133156,0.136329,1816368
Salinity (PSU) [sea_water_salinity]{300-600m},0.080287,0.080704,0.080086,0.080347,0.081442,0.08315,0.082983,0.086157,0.087259,2245406
Sea level anomaly (m) [sea_surface_height_above_geoid]{surface},0.048036,0.049041,0.049847,0.051272,0.052529,0.054256,0.055876,0.05761,0.059715,15465310
Zonal current (m/s) [eastward_sea_water_velocity]{15m},0.120852,0.123033,0.125987,0.126715,0.126793,0.128061,0.131193,0.134219,0.136569,1205373
Meridional current (m/s) [northward_sea_water_velocity]{15m},0.116803,0.118025,0.11988,0.12154,0.124054,0.126202,0.127695,0.130004,0.132093,1205373
