,Lead day 1,Lead day 2,Lead day 3,Lead day 4,Lead day 5,Lead day 6,Lead day 7,Lead day 8,Lead day 9,Lead day 10
Sea surface height (m) [sea_surface_height_above_geoid]{surface},0.03975,0.043548,0.046854,0.049342,0.052466,0.055067,0.057506,0.059759,0.061368,0.06243
Temperature (°C) [sea_water_potential_temperature]{surface},0.43639,0.443258,0.454957,0.472511,0.491787,0.512508,0.535808,0.558068,0.572678,0.588395
Salinity (PSU) [sea_water_salinity]{surface},0.381851,0.389638,0.396972,0.404858,0.41248,0.421379,0.430652,0.440031,0.447806,0.454375
Meridional current (m/s) [northward_sea_water_velocity]{surface},0.073276,0.081319,0.08855,0.095181,0.101367,0.106992,0.113207,0.118403,0.121128,0.123571
Zonal current (m/s) [eastward_sea_water_velocity]{surface},0.075595,0.084297,0.091432,0.098057,0.104444,0.110479,0.11636,0.121996,0.125287,0.12767
Temperature (°C) [sea_water_potential_temperature]{50m},0.573577,0.582475,0.594941,0.611881,0.634821,0.661986,0.689036,0.713474,0.727848,0.741931
Salinity (PSU) [sea_water_salinity]{50m},0.147798,0.152152,0.155027,0.15826,0.162343,0.166998,0.171435,0.175595,0.178372,0.180917
Meridional current (m/s) [northward_sea_water_velocity]{50m},0.06557,0.069211,0.073506,0.078287,0.083489,0.089023,0.094838,0.100197,0.103153,0.105794
Zonal current (m/s) [eastward_sea_water_velocity]{50m},0.06811,0.071767,0.075866,0.080525,0.08561,0.091058,0.096903,0.102341,0.105528,0.108214
Temperature (°C) [sea_water_potential_temperature]{100m},0.596826,0.605254,0.619129,0.639539,0.668072,0.698721,0.731983,0.762683,0.782647,0.799367
Salinity (PSU) [sea_water_salinity]{100m},0.111891,0.11344,0.115099,0.117271,0.120225,0.123657,0.127271,0.130783,0.132887,0.134834
Meridional current (m/s) [northward_sea_water_velocity]{100m},0.064393,0.067021,0.070287,0.074335,0.07894,0.083947,0.089199,0.094071,0.096808,0.09911
Zonal current (m/s) [eastward_sea_water_velocity]{100m},0.066677,0.069254,0.072299,0.076159,0.080558,0.085385,0.090529,0.095401,0.09845,0.100959
Temperature (°C) [sea_water_potential_temperature]{200m},0.468137,0.473927,0.485533,0.502795,0.523654,0.546726,0.573462,0.598729,0.614808,0.628457
Salinity (PSU) [sea_water_salinity]{200m},0.081244,0.082426,0.083993,0.086281,0.089127,0.09238,0.095969,0.099343,0.101598,0.103563
Meridional current (m/s) [northward_sea_water_velocity]{200m},0.059049,0.061215,0.063851,0.06727,0.071192,0.075484,0.08003,0.084303,0.086833,0.08895
Zonal current (m/s) [eastward_sea_water_velocity]{200m},0.059219,0.061472,0.064088,0.067392,0.071197,0.07534,0.079681,0.083834,0.086538,0.088832
Temperature (°C) [sea_water_potential_temperature]{300m},0.401458,0.411812,0.423859,0.437929,0.455905,0.475926,0.498079,0.518735,0.532119,0.543405
Salinity (PSU) [sea_water_salinity]{300m},0.069334,0.070284,0.071853,0.073973,0.076565,0.079525,0.082526,0.085321,0.087185,0.088885
Meridional current (m/s) [northward_sea_water_velocity]{300m},0.057453,0.059306,0.06172,0.064926,0.06864,0.072677,0.076915,0.080943,0.083402,0.085485
Zonal current (m/s) [eastward_sea_water_velocity]{300m},0.057494,0.059433,0.061768,0.064753,0.068232,0.072084,0.076093,0.079959,0.082492,0.084671
Temperature (°C) [sea_water_potential_temperature]{500m},0.336169,0.341332,0.348314,0.357302,0.37006,0.385658,0.402244,0.418351,0.42849,0.437588
Salinity (PSU) [sea_water_salinity]{500m},0.055274,0.055793,0.056589,0.057801,0.059375,0.061261,0.063282,0.06526,0.066585,0.067806
Meridional current (m/s) [northward_sea_water_velocity]{500m},0.057314,0.05866,0.060432,0.062843,0.065655,0.06879,0.072147,0.075374,0.077401,0.079151
Zonal current (m/s) [eastward_sea_water_velocity]{500m},0.056598,0.058057,0.059822,0.062115,0.06481,0.067839,0.071014,0.074152,0.076263,0.078108
