,Lead day 1,Lead day 2,Lead day 3,Lead day 4,Lead day 5,Lead day 6,Lead day 7,Lead day 8,Lead day 9,Lead day 10
Sea surface height (m) [sea_surface_height_above_geoid]{surface},0.05743,0.056202,0.055683,0.056286,0.056936,0.05798,0.058815,0.060128,0.060572,0.061352
Temperature (°C) [sea_water_potential_temperature]{surface},0.569213,0.571423,0.571544,0.576939,0.583732,0.593273,0.607127,0.620466,0.630576,0.641597
Salinity (PSU) [sea_water_salinity]{surface},0.407976,0.401434,0.397198,0.394663,0.392485,0.390384,0.38977,0.389051,0.388215,0.388093
Meridional current (m/s) [northward_sea_water_velocity]{surface},0.113347,0.115158,0.117227,0.118851,0.120193,0.121461,0.123127,0.124593,0.125077,0.125671
Zonal current (m/s) [eastward_sea_water_velocity]{surface},0.11363,0.115929,0.11829,0.120342,0.122209,0.123875,0.125671,0.127342,0.128178,0.128785
Temperature (°C) [sea_water_potential_temperature]{50m},0.803003,0.79372,0.784192,0.779838,0.77643,0.777982,0.783756,0.792254,0.795345,0.801931
Salinity (PSU) [sea_water_salinity]{50m},0.204734,0.202809,0.201255,0.200344,0.199667,0.199205,0.199149,0.199097,0.198708,0.198756
Meridional current (m/s) [northward_sea_water_velocity]{50m},0.10633,0.106364,0.106669,0.107106,0.107648,0.108465,0.109598,0.110734,0.111117,0.111568
Zonal current (m/s) [eastward_sea_water_velocity]{50m},0.106599,0.106439,0.106689,0.107167,0.107774,0.108611,0.109868,0.111097,0.11162,0.112266
Temperature (°C) [sea_water_potential_temperature]{100m},0.949149,0.938091,0.931582,0.928275,0.923671,0.923243,0.926001,0.929908,0.929373,0.933661
Salinity (PSU) [sea_water_salinity]{100m},0.167032,0.165601,0.164598,0.16403,0.163647,0.163199,0.163093,0.162916,0.162402,0.162145
Meridional current (m/s) [northward_sea_water_velocity]{100m},0.102582,0.102175,0.102095,0.102144,0.102335,0.10277,0.10354,0.104344,0.104532,0.104788
Zonal current (m/s) [eastward_sea_water_velocity]{100m},0.107216,0.106604,0.106258,0.106131,0.106175,0.106388,0.107067,0.107886,0.10817,0.108524
Temperature (°C) [sea_water_potential_temperature]{200m},0.770931,0.766508,0.762823,0.760326,0.758312,0.757282,0.75764,0.758704,0.756242,0.757193
Salinity (PSU) [sea_water_salinity]{200m},0.137419,0.136358,0.135605,0.134951,0.13439,0.133726,0.133311,0.132815,0.131958,0.131393
Meridional current (m/s) [northward_sea_water_velocity]{200m},0.097624,0.096948,0.096649,0.096382,0.096136,0.095987,0.096093,0.096141,0.095899,0.095765
Zonal current (m/s) [eastward_sea_water_velocity]{200m},0.104568,0.103496,0.102986,0.10253,0.102177,0.101918,0.101863,0.101819,0.101489,0.101289
Temperature (°C) [sea_water_potential_temperature]{300m},0.642562,0.634224,0.629662,0.627652,0.626065,0.625468,0.62676,0.628567,0.626971,0.627467
Salinity (PSU) [sea_water_salinity]{300m},0.112896,0.111987,0.111222,0.110595,0.110007,0.109285,0.108814,0.108297,0.107416,0.1069
Meridional current (m/s) [northward_sea_water_velocity]{300m},0.093591,0.093008,0.092684,0.092304,0.091961,0.091693,0.09163,0.091471,0.091115,0.09089
Zonal current (m/s) [eastward_sea_water_velocity]{300m},0.098853,0.098146,0.097823,0.097508,0.097217,0.096961,0.09688,0.096771,0.096486,0.096313
Temperature (°C) [sea_water_potential_temperature]{500m},0.494772,0.48902,0.486446,0.485779,0.484912,0.484153,0.485362,0.486824,0.48618,0.487227
Salinity (PSU) [sea_water_salinity]{500m},0.084646,0.084016,0.083468,0.083091,0.082725,0.082229,0.081881,0.081489,0.080821,0.080453
Meridional current (m/s) [northward_sea_water_velocity]{500m},0.082759,0.082226,0.081855,0.0814,0.080993,0.080618,0.080389,0.080084,0.079684,0.079425
Zonal current (m/s) [eastward_sea_water_velocity]{500m},0.08765,0.087015,0.086646,0.086292,0.085972,0.085662,0.085473,0.085241,0.084902,0.084702
