,Lead day 1,Lead day 2,Lead day 3,Lead day 4,Lead day 5,Lead day 6,Lead day 7,Lead day 8,Lead day 9,Lead day 10
Temperature (°C) [sea_water_potential_temperature]{surface},0.828256,0.86518,0.835505,0.852764,0.882393,0.9185,0.922682,0.936307,0.965075,0.937952
Temperature (°C) [sea_water_potential_temperature]{0-5m},0.823492,0.830471,0.857182,0.866589,0.883973,0.895529,0.910241,0.888536,0.899967,0.930705
Temperature (°C) [sea_water_potential_temperature]{5-100m},1.037434,1.033786,1.027077,1.037589,1.048544,1.049099,1.06307,1.070183,1.080383,1.092362
Temperature (°C) [sea_water_potential_temperature]{100-300m},0.835366,0.842954,0.8382,0.846914,0.86474,0.85917,0.882191,0.883507,0.901023,0.911166
Temperature (°C) [sea_water_potential_temperature]{300-600m},0.545882,0.558605,0.5517,0.561291,0.563658,0.573584,0.584687,0.581714,0.593105,0.597763
Salinity (PSU) [sea_water_salinity]{0-5m},0.269375,0.27898,0.273743,0.279093,0.265755,0.272132,0.260686,0.270306,0.290773,0.289567
Salinity (PSU) [sea_water_salinity]{5-100m},0.308847,0.311245,0.318122,0.28926,0.335126,0.314463,0.30009,0.310105,0.314245,0.316772
Salinity (PSU) [sea_water_salinity]{100-300m},0.126283,0.126278,0.127479,0.126274,0.129583,0.127915,0.133608,0.129681,0.131861,0.136458
Salinity (PSU) [sea_water_salinity]{300-600m},0.079162,0.079696,0.078395,0.079537,0.07905,0.079872,0.081974,0.081631,0.081629,0.083509
Sea level anomaly (m) [sea_surface_height_above_geoid]{surface},0.057784,0.059666,0.061528,0.062971,0.064781,0.066287,0.067918,0.068842,0.070649,0.071671
Zonal current (m/s) [eastward_sea_water_velocity]{15m},0.202346,0.20359,0.207487,0.208586,0.207403,0.208588,0.211829,0.213164,0.21295,0.215029
Meridional current (m/s) [northward_sea_water_velocity]{15m},0.185313,0.186987,0.189783,0.192828,0.193106,0.194918,0.195557,0.196779,0.196523,0.197618
